,coin,exchange
172,GERO,"['Uniswap (v3)', 'Uniswap (v3)']"
173,SUB,"['OKEx', 'OKEx', 'OKEx', 'OKEx', 'OKEx', 'OKEx', 'ZB']"
174,DEI,"['Uniswap (v2)', 'Uniswap (v2)']"
175,MNE,"['Uniswap (v2)', 'Uniswap (v2)']"
176,QSP,"['Balancer (v1)', 'Balancer (v1)', 'Binance', 'Balancer (v1)', 'Balancer (v1)', 'Balancer (v1)', 'Binance', 'Balancer (v1)']"
177,EVM,"['PancakeSwap', 'PancakeSwap']"
178,RBY,"['YoBit', 'YoBit', 'Bittrex']"
179,AMT,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
180,WFTM,"['SpiritSwap', 'SpookySwap', 'SpiritSwap', 'SpiritSwap', 'SpookySwap', 'SpookySwap', 'Sushiswap', 'SpiritSwap', 'SpiritSwap', 'SpookySwap', 'SpiritSwap', 'SpookySwap', 'SpiritSwap', 'SpookySwap', 'SpiritSwap', 'SpiritSwap', 'SpookySwap', 'SpookySwap', 'Sushiswap', 'SpiritSwap', 'SpiritSwap', 'SpookySwap', 'SpiritSwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpiritSwap', 'SpiritSwap', 'SpiritSwap', 'SpookySwap', 'SpookySwap', 'Sushiswap', 'SpiritSwap', 'SpookySwap', 'SpiritSwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpiritSwap', 'SpookySwap', 'SpookySwap', 'SpiritSwap', 'SpookySwap']"
181,SHIBAZILLA,"['PancakeSwap', 'PancakeSwap']"
182,UGC,"['EXX', 'EXX']"
183,MMM,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
184,PWG,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
185,MFI,"['Uniswap (v2)', 'Uniswap (v2)', 'PancakeSwap']"
186,BIGSB,"['Uniswap (v2)', 'Uniswap (v2)']"
187,RENZEC,"['Uniswap (v2)', 'Uniswap (v2)']"
188,CNN,"['Ethfinex', 'Bitfinex', 'Huobi Global', 'Ethfinex', 'Bitfinex', 'Huobi Global']"
189,ZEC,"['Gemini', 'Binance', 'Binance', 'Binance', 'HitBTC', 'Gemini', 'Binance', 'Binance', 'Binance', 'HitBTC', 'Upbit', 'Upbit', 'CoinEx', 'Kraken', 'Huobi Global', 'Upbit', 'EXX', 'Okcoin', 'Binance', 'Ethfinex']"
190,DOGE,"['HitBTC', 'Bitibu', 'Bitfinex', 'Binance', 'YoBit', 'PancakeSwap', 'BTC38', 'YoBit', 'Binance US', 'HitBTC', 'Bitibu', 'Bitfinex', 'Binance', 'YoBit', 'PancakeSwap', 'BTC38', 'YoBit', 'Binance US', 'SouthXchange', 'Binance US', 'Bittrex', 'HitBTC', 'ZB', 'Binance', 'Binance', 'Hotbit', 'Binance', 'Gemini', 'Bitlish', 'TheRockTrading', 'BigONE']"
191,MLM,"['SouthXchange', 'SouthXchange']"
192,STEPS,"['YoBit', 'YoBit', 'Bittrex']"
193,SLYR,"['PancakeSwap', 'PancakeSwap']"
194,WINGS,"['Gatecoin', 'Gatecoin', 'Bittrex', 'HitBTC']"
195,IDEX,"['Huobi Global', 'Huobi Global', 'Binance']"
196,NXC,"['Poloniex', 'Poloniex']"
197,ETHA,"['Bittrex', 'Bittrex']"
198,YGG,"['Binance', 'Binance', 'Uniswap (v2)', 'Uniswap (v3)', 'Sushiswap', 'Bibox', 'Sushiswap']"
199,YFI,"['Currency.com', 'HitBTC', 'Balancer (v1)', 'Balancer (v1)', 'Currency.com', 'HitBTC', 'Balancer (v1)', 'Balancer (v1)', 'Huobi Global', 'SpookySwap', 'Sushiswap', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v2)', 'Huobi Global', 'Uniswap (v2)', 'Gemini', 'Uniswap (v2)', 'Bibox', 'Uniswap (v3)', 'CEX.IO']"
200,QTF,"['Uniswap (v2)', 'Uniswap (v2)']"
201,CORGIB,"['PancakeSwap', 'PancakeSwap']"
202,ZIL,"['YoBit', 'Bibox', 'EXX', 'CoinEx', 'YoBit', 'Bibox', 'EXX', 'CoinEx', 'PancakeSwap', 'KuCoin', 'Huobi Global', 'Huobi Global', 'Binance US', 'CoinEx', 'Upbit']"
203,PAXG,"['Uniswap (v2)', 'HitBTC', 'Binance', 'Uniswap (v2)', 'HitBTC', 'Binance', 'Uniswap (v2)', 'Kraken', 'Gemini', 'Uniswap (v2)']"
204,SLICE,"['Uniswap (v2)', 'Bittrex', 'Uniswap (v2)', 'Bittrex']"
205,okinami,"['Uniswap (v3)', 'Uniswap (v3)']"
206,KP3R,"['Poloniex', 'Poloniex', 'Uniswap (v2)', 'Uniswap (v2)', 'CoinEx']"
207,BRAIN,"['YoBit', 'YoBit']"
208,PEOPLE,"['Uniswap (v3)', 'Uniswap (v2)', 'Uniswap (v3)', 'Uniswap (v2)']"
209,ALU,"['PancakeSwap', 'PancakeSwap']"
210,LBC,"['Bittrex', 'Bittrex', 'Bittrex', 'Bittrex', 'Poloniex']"
211,TTT,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v3)', 'Bibox', 'Uniswap (v2)']"
212,REDBUFF,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
213,GTON,"['SpiritSwap', 'SpiritSwap', 'Sushiswap']"
214,CORE,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
215,XPAY,"['PancakeSwap', 'PancakeSwap']"
216,NEXO,"['Binance', 'CoinEx', 'Balancer (v2)', 'Binance', 'CoinEx', 'Balancer (v2)', 'Bitfinex', 'Huobi Global']"
217,QTUM,"['OKEx', 'CoinEx', 'Coinone', 'OKEx', 'CoinEx', 'Coinone', 'Bitforex', 'Korbit', 'Binance', 'Bibox', 'Poloniex', 'Liquid', 'Bitfinex', 'Bitforex', 'Bibox', 'Huobi Global', 'Binance US', 'Bit-Z']"
218,RENBTC,"['Balancer (v2)', 'Bittrex', 'Balancer (v2)', 'Bittrex', 'Balancer (v1)']"
219,APE,"['KuCoin', 'Kraken', 'Bibox', 'Binance', 'KuCoin', 'Kraken', 'Bibox', 'Binance', 'Coinbase Exchange']"
220,DOT,"['FTX', 'Sushiswap', 'CoinEgg', 'Binance', 'Poloniex', 'KuCoin', 'BitBay', 'Bitfinex', 'CoinEx', 'FTX', 'Sushiswap', 'CoinEgg', 'Binance', 'Poloniex', 'KuCoin', 'BitBay', 'Bitfinex', 'CoinEx', 'Bitfinex', 'Binance', 'Upbit', 'Bittrex', 'BitBay', 'KuCoin', 'KuCoin', 'FTX']"
221,GRIN,"['Poloniex', 'Poloniex', 'HitBTC', 'KuCoin', 'Okcoin', 'Okcoin', 'BigONE']"
222,TALK,"['PancakeSwap', 'PancakeSwap']"
223,ZB,"['Hotbit', 'Hotbit', 'EXX', 'Bitfinex']"
224,brn,"['PancakeSwap', 'PancakeSwap']"
225,DOUGH,"['Uniswap (v2)', 'Uniswap (v2)']"
226,BCD,"['HitBTC', 'HitBTC', 'Huobi Global', 'KuCoin', 'EXX', 'Bit-Z']"
227,OXB,"['PancakeSwap', 'PancakeSwap']"
228,SC,"['Kraken', 'Binance', 'Kraken', 'Binance', 'EXX']"
229,HVN,"['HitBTC', 'HitBTC', 'HitBTC']"
230,DYDX,"['Bitstamp', 'Poloniex', 'Uniswap (v2)', 'Binance', 'Uniswap (v3)', 'Bitstamp', 'Poloniex', 'Uniswap (v2)', 'Binance', 'Uniswap (v3)', 'ZB', 'CoinEx', 'Sushiswap']"
231,BOT,"['EXX', 'EXX', 'EXX', 'EXX']"
232,HAUS,"['Sushiswap', 'Sushiswap', 'Balancer (v2)', 'Balancer (v2)']"
233,TOOLS,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
234,SAN,"['OKEx', 'OKEx', 'YoBit', 'EXX', 'Ethfinex', 'EXX']"
235,WHALE,"['Uniswap (v3)', 'Uniswap (v3)']"
236,CNJ,"['Sushiswap', 'Sushiswap']"
237,XTZ,"['OKEx', 'Coinbase Exchange', 'Cobinhood', 'Gatecoin', 'Bithumb', 'Binance', 'Poloniex', 'OKEx', 'Coinbase Exchange', 'Cobinhood', 'Gatecoin', 'Bithumb', 'Binance', 'Poloniex', 'Gemini', 'BeQuant', 'BigONE', 'Bitfinex', 'Binance US', 'CoinEx', 'Huobi Global', 'Ethfinex', 'Bitforex', 'Huobi Global']"
238,SHX,"['Uniswap (v2)', 'Uniswap (v2)']"
239,POLY,"['Coinbase Exchange', 'Binance', 'PancakeSwap', 'Coinbase Exchange', 'Binance', 'PancakeSwap', 'Upbit', 'Ethfinex', 'Uniswap (v2)']"
240,SNX,"['Balancer (v1)', 'Balancer (v1)', 'Huobi Global', 'Kraken', 'Huobi Global', 'Balancer (v2)', 'Balancer (v1)', 'Bittrex', 'BTC-Alpha', 'Bitfinex', 'Balancer (v1)', 'Balancer (v1)', 'Huobi Global', 'Kraken', 'Huobi Global', 'Balancer (v2)', 'Balancer (v1)', 'Bittrex', 'BTC-Alpha', 'Bitfinex', 'Bibox', 'Balancer (v1)', 'Uniswap (v2)', 'Balancer (v1)', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v2)', 'CoinEx', 'Balancer (v1)', 'Okcoin', 'Uniswap (v3)', 'Uniswap (v2)', 'Balancer (v1)', 'Uniswap (v2)', 'Balancer (v1)', 'Bitstamp', 'KuCoin', 'Balancer (v1)', 'OKEx', 'CEX.IO']"
241,POFI,"['PancakeSwap', 'PancakeSwap']"
242,udoge,"['PancakeSwap', 'PancakeSwap']"
243,POWR,"['HitBTC', 'CoinEx', 'HitBTC', 'CoinEx', 'Uniswap (v3)', 'Coinbase Exchange']"
244,GENE,"['PancakeSwap', 'PancakeSwap']"
245,MIOTA,"['Bitlish', 'SouthXchange', 'Bittrex', 'Bitlish', 'SouthXchange', 'Bittrex', 'Liquid', 'Huobi Global', 'Bittrex', 'SouthXchange', 'Upbit', 'Bitforex']"
246,BNB,"['SouthXchange', 'FTX', 'YoBit', 'Bibox', 'SouthXchange', 'FTX', 'YoBit', 'Bibox', 'CoinEx', 'Binance', 'BinanceDEXTestnet', 'KuCoin', 'Poloniex', 'KuCoin']"
247,KAVA,"['CEX.IO', 'Kraken', 'Binance', 'CEX.IO', 'Kraken', 'Binance', 'Huobi Global', 'Binance']"
248,SMT,"['Uniswap (v2)', 'HitBTC', 'YoBit', 'HitBTC', 'Uniswap (v2)', 'HitBTC', 'YoBit', 'HitBTC', 'HitBTC', 'YoBit', 'HitBTC', 'OKEx']"
249,CRV,"['CEX.IO', 'Huobi Global', 'SpookySwap', 'HitBTC', 'ZB', 'Balancer (v1)', 'HitBTC', 'CEX.IO', 'Huobi Global', 'SpookySwap', 'HitBTC', 'ZB', 'Balancer (v1)', 'HitBTC', 'SpookySwap', 'Balancer (v1)', 'Sushiswap', 'EXX', 'FTX', 'Kraken', 'SpiritSwap', 'OKEx', 'Binance', 'Bitstamp', 'CoinEx', 'Kraken']"
250,GTO,"['EXX', 'EXX', 'Binance', 'OKEx', 'EXX', 'OKEx']"
251,UPT,"['PancakeSwap', 'PancakeSwap']"
252,MLN,"['Kraken', 'ZB', 'Kraken', 'ZB', 'Balancer (v1)', 'Poloniex']"
253,SPCV2,"['Uniswap (v2)', 'Uniswap (v2)', 'HitBTC', 'EXX']"
254,MAG,"['EXX', 'EXX']"
255,USDP,"['Cobinhood', 'Bittrex', 'UEX', 'Hotbit', 'Uniswap (v3)', 'Cobinhood', 'Bittrex', 'UEX', 'Hotbit', 'Uniswap (v3)', 'Bit-Z', 'EXX', 'HitBTC', 'Binance', 'Uniswap (v3)', 'HitBTC', 'Bittrex', 'Bittrex']"
256,OST,"['EXX', 'EXX', 'Upbit', 'Uniswap (v2)', 'EXX', 'Binance', 'Upbit']"
257,SPI,"['Uniswap (v2)', 'Uniswap (v2)']"
258,XEP,"['PancakeSwap', 'PancakeSwap']"
259,MOMO,"['PancakeSwap', 'PancakeSwap']"
260,CWT,"['PancakeSwap', 'PancakeSwap']"
261,HT,"['Uniswap (v2)', 'Bitforex', 'Uniswap (v2)', 'Uniswap (v2)', 'Bitforex', 'Uniswap (v2)', 'Huobi Global', 'Bibox', 'Huobi Global']"
262,PEPECASH,"['Zaif', 'Zaif', 'Zaif', 'Zaif']"
263,APY,"['Uniswap (v2)', 'Uniswap (v2)']"
264,SRNT,"['Uniswap (v2)', 'Uniswap (v2)']"
265,STEP,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
266,PTOY,"['HitBTC', 'HitBTC']"
267,LINA,"['Huobi Global', 'HitBTC', 'Uniswap (v2)', 'Binance', 'Huobi Global', 'HitBTC', 'Uniswap (v2)', 'Binance', 'Sushiswap', 'HitBTC', 'Huobi Global', 'HitBTC']"
268,DASH,"['ZB', 'Binance', 'Upbit', 'BigONE', 'AnyBits', 'Liquid', 'Cobinhood', 'CEX.IO', 'Bit-Z', 'ZB', 'Binance', 'Upbit', 'BigONE', 'AnyBits', 'Liquid', 'Cobinhood', 'CEX.IO', 'Bit-Z', 'YoBit', 'Bittrex', 'Poloniex', 'Binance', 'KuCoin', 'Hotbit', 'HitBTC', 'Bitlish', 'Poloniex', 'ZB', 'Bitfinex', 'Currency.com']"
269,YAM,"['Uniswap (v2)', 'Sushiswap', 'Uniswap (v2)', 'Sushiswap', 'Uniswap (v2)', 'Uniswap (v2)']"
270,SAFECITY,"['PancakeSwap', 'PancakeSwap']"
271,2GOSHI,"['PancakeSwap', 'PancakeSwap']"
272,TOMB,"['SpookySwap', 'SpookySwap', 'SpookySwap', 'SpiritSwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpookySwap', 'SpiritSwap', 'SpookySwap', 'SpookySwap']"
273,GEIST,"['SpookySwap', 'SpookySwap']"
274,TAUD,"['Balancer (v1)', 'Balancer (v1)']"
275,BAT,"['Balancer (v1)', 'Uniswap (v2)', 'Kraken', 'The Ocean', 'Balancer (v1)', 'Uniswap (v2)', 'Kraken', 'The Ocean', 'CEX.IO', 'Uniswap (v3)', 'Upbit', 'Kraken', 'FTX', 'Uniswap (v2)', 'ZB', 'Uniswap (v2)', 'Gemini', 'Bitso']"
276,LRC,"['Coinbase Exchange', 'Uniswap (v2)', 'Binance', 'HitBTC', 'Uniswap (v2)', 'Coinbase Exchange', 'Uniswap (v2)', 'Binance', 'HitBTC', 'Uniswap (v2)', 'YoBit', 'Sushiswap', 'YoBit', 'Balancer (v2)', 'OKEx']"
277,ICEBRK,"['PancakeSwap', 'PancakeSwap']"
278,RCKT,"['Uniswap (v2)', 'Uniswap (v2)']"
279,FSN,"['Hotbit', 'OKEx', 'Hotbit', 'OKEx', 'Upbit', 'Liquid', 'Bitfinex', 'Bibox']"
280,ZDC,"['PancakeSwap', 'PancakeSwap']"
281,DGB,"['Binance', 'Bittrex', 'OKEx', 'Binance', 'Bittrex', 'OKEx', 'Binance']"
282,MATIC,"['Hotbit', 'Binance', 'Binance', 'KuCoin', 'Bittrex', 'Hotbit', 'Binance', 'Binance', 'KuCoin', 'Bittrex', 'Bitfinex', 'Bittrex', 'Binance US', 'Binance US', 'Solarbeam', 'Uniswap (v2)', 'BtcTurk PRO', 'KuCoin', 'Uniswap (v3)', 'Poloniex', 'Bitforex']"
283,EOS,"['KuCoin', 'OKEx', 'Ethfinex', 'HitBTC', 'EXX', 'Bibox', 'Binance', 'Binance', 'Huobi Global', 'KuCoin', 'OKEx', 'Ethfinex', 'HitBTC', 'EXX', 'Bibox', 'Binance', 'Binance', 'Huobi Global', 'Coinone', 'Binance', 'HitBTC', 'HitBTC', 'Binance', 'OKEx', 'BeQuant', 'Bibox', 'Kraken', 'PancakeSwap', 'BigONE', 'Binance']"
284,LUN,"['HitBTC', 'Bittrex', 'HitBTC', 'Bittrex', 'Binance', 'Huobi Global']"
285,SOLID,"['SpookySwap', 'SpookySwap']"
286,ONT,"['Huobi Global', 'CoinEx', 'EXX', 'KuCoin', 'Bithumb', 'Huobi Global', 'CoinEx', 'EXX', 'KuCoin', 'Bithumb', 'CoinEx', 'CEX.IO', 'Bit-Z', 'BigONE', 'Bibox', 'Bibox', 'HitBTC', 'OKEx', 'CoinEx', 'Binance', 'Upbit']"
287,RDT,"['Uniswap (v2)', 'Uniswap (v2)']"
288,300,"['PancakeSwap', 'PancakeSwap']"
289,XRP,"['PancakeSwap', 'BeQuant', 'Currency.com', 'Binance', 'AnyBits', 'CEX.IO', 'FTX', 'Liquid', 'Huobi Global', 'BtcTurk PRO', 'Huobi Global', 'FTX', 'Coinbase Exchange', 'Bittrex', 'BitBay', 'Kraken', 'PancakeSwap', 'BeQuant', 'Currency.com', 'Binance', 'AnyBits', 'CEX.IO', 'FTX', 'Liquid', 'Huobi Global', 'BtcTurk PRO', 'Huobi Global', 'FTX', 'Coinbase Exchange', 'Bittrex', 'BitBay', 'Kraken', 'Upbit', 'Stronghold', 'HitBTC', 'Coinbase Exchange', 'CoinEx', 'LMAX', 'Bitstamp', 'PancakeSwap', 'Bitstamp', 'Binance US', 'Huobi Global', 'FTX', 'Bibox']"
290,dct,"['PancakeSwap', 'PancakeSwap']"
291,COCO,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
292,ETHO,"['PancakeSwap', 'PancakeSwap', 'Uniswap (v2)']"
293,F9,"['Uniswap (v2)', 'Uniswap (v2)']"
294,ALMX,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
295,NEO,"['Binance US', 'Liquid', 'Bittrex', 'Binance US', 'Liquid', 'Bittrex', 'Poloniex', 'HitBTC', 'EXX', 'Bitfinex', 'KuCoin']"
296,DGD,"['Huobi Global', 'Gatecoin', 'Huobi Global', 'Gatecoin', 'EXX']"
297,MCO,"['Uniswap (v2)', 'Upbit', 'OKEx', 'Uniswap (v2)', 'Upbit', 'OKEx', 'Huobi Global']"
298,ELF,"['Ethfinex', 'Binance', 'Ethfinex', 'Binance', 'HitBTC', 'EXX', 'EXX', 'Ethfinex', 'Huobi Global', 'Binance', 'Bitfinex', 'Uniswap (v2)', 'Huobi Global', 'Upbit', 'OKEx']"
299,PVT,"['Huobi Global', 'Huobi Global', 'Huobi Global']"
300,OCTAX,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
301,WNXM,"['Sushiswap', 'OKEx', 'Sushiswap', 'OKEx', 'Uniswap (v3)', 'Binance', 'Balancer (v1)']"
302,AXIAV3,"['Balancer (v1)', 'Balancer (v1)', 'Balancer (v1)']"
303,ICP,"['Binance', 'Coinbase Exchange', 'Coinbase Exchange', 'ZB', 'Bitfinex', 'Binance', 'Coinbase Exchange', 'Coinbase Exchange', 'ZB', 'Bitfinex', 'Huobi Global', 'Binance', 'Currency.com', 'Binance', 'Coinbase Exchange', 'Bit-Z']"
304,PITQD,"['PancakeSwap', 'PancakeSwap']"
305,JNT,"['Bibox', 'Bibox', 'Bittrex']"
306,MAVRO,"['YoBit', 'YoBit']"
307,DRT,"['YoBit', 'YoBit', 'Sushiswap']"
308,BTT,"['CoinEx', 'PancakeSwap', 'KuCoin', 'HitBTC', 'Binance', 'EXX', 'CoinEx', 'PancakeSwap', 'KuCoin', 'HitBTC', 'Binance', 'EXX', 'Binance', 'FTX', 'Huobi Global', 'Bitfinex', 'Huobi Global', 'Ethfinex', 'Bitforex', 'CEX.IO', 'Huobi Global', 'PancakeSwap']"
309,AUDIO,"['Uniswap (v2)', 'Bitstamp', 'Uniswap (v2)', 'Bitstamp', 'Uniswap (v3)', 'Bitstamp']"
310,str,"['Sushiswap', 'PancakeSwap', 'Sushiswap', 'PancakeSwap']"
311,CSHIP,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
312,BNT,"['HitBTC', 'EXX', 'Sushiswap', 'Bancor', 'HitBTC', 'EXX', 'Sushiswap', 'Bancor', 'Coinbase Exchange', 'Bancor', 'CEX.IO', 'Kraken', 'Bancor', 'Huobi Global', 'Bancor', 'BigONE', 'Uniswap (v2)']"
313,BAN,"['PancakeSwap', 'PancakeSwap']"
314,milady,"['Sushiswap', 'Sushiswap']"
315,AQUAGOAT,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
316,EXY,"['BitBay', 'BitBay', 'KuCoin']"
317,DATA,"['Binance', 'Binance', 'Balancer (v2)']"
318,MOOND,"['PancakeSwap', 'PancakeSwap']"
319,KORE,"['Uniswap (v2)', 'Uniswap (v2)', 'Upbit']"
320,BAL,"['Balancer (v1)', 'Uniswap (v2)', 'Balancer (v2)', 'Kraken', 'Sushiswap', 'Uniswap (v2)', 'Balancer (v1)', 'Balancer (v1)', 'Bibox', 'OKEx', 'Huobi Global', 'Balancer (v1)', 'Uniswap (v2)', 'Balancer (v2)', 'Kraken', 'Sushiswap', 'Uniswap (v2)', 'Balancer (v1)', 'Balancer (v1)', 'Bibox', 'OKEx', 'Huobi Global', 'Bittrex', 'Balancer (v2)', 'Bitfinex', 'Balancer (v1)', 'Balancer (v1)', 'Balancer (v2)', 'Balancer (v2)', 'Balancer (v1)', 'Balancer (v1)', 'Balancer (v2)', 'Huobi Global']"
321,LEVEN,"['Uniswap (v3)', 'Balancer (v2)', 'Uniswap (v3)', 'Balancer (v2)', 'Uniswap (v2)']"
322,SLP,"['Binance', 'Binance', 'Binance', 'Binance', 'Uniswap (v2)', 'Bitstamp', 'Uniswap (v3)', 'Uniswap (v3)']"
323,TRX,"['Kraken', 'BeQuant', 'Huobi Global', 'Upbit', 'BigONE', 'Bitfinex', 'Bit-Z', 'Kraken', 'BeQuant', 'Huobi Global', 'Upbit', 'BigONE', 'Bitfinex', 'Bit-Z', 'BitBay', 'ZB', 'Gatecoin', 'Bittrex', 'Korbit', 'Bitfinex', 'HitBTC', 'EXX', 'OKEx', 'Okcoin', 'EXX', 'BtcTurk PRO', 'Bittrex', 'BitBay']"
324,moby,"['PancakeSwap', 'PancakeSwap']"
325,RLY,"['Balancer (v2)', 'Balancer (v2)', 'Balancer (v1)']"
326,YASHA,"['Uniswap (v2)', 'Uniswap (v2)']"
327,IPX,"['PancakeSwap', 'HitBTC', 'PancakeSwap', 'HitBTC']"
328,DG,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
329,LID,"['Uniswap (v2)', 'Uniswap (v2)']"
330,BANANA,"['PancakeSwap', 'Apeswap', 'Apeswap', 'PancakeSwap', 'Apeswap', 'Apeswap', 'Apeswap', 'Apeswap', 'Apeswap', 'Apeswap', 'Apeswap']"
331,ADX,"['HitBTC', 'Sushiswap', 'Gatecoin', 'HitBTC', 'Sushiswap', 'Gatecoin', 'Bittrex', 'Binance', 'Upbit', 'Sushiswap', 'PancakeSwap']"
332,TREAT,"['PancakeSwap', 'PancakeSwap']"
333,ZAP,"['PancakeSwap', 'PancakeSwap', 'Sushiswap']"
334,PRG,"['HitBTC', 'HitBTC']"
335,RPC,"['YoBit', 'YoBit']"
336,TLW,"['PancakeSwap', 'PancakeSwap']"
337,SCC,"['HitBTC', 'HitBTC']"
338,FIL,"['Korbit', 'Binance', 'Korbit', 'Binance', 'Bittrex', 'CoinEx', 'KuCoin', 'PancakeSwap', 'Binance', 'HitBTC', 'Binance']"
339,FEG,"['Uniswap (v2)', 'Uniswap (v2)', 'PancakeSwap']"
340,VAL,"['Bittrex', 'Bittrex', 'PancakeSwap']"
341,HC,"['EXX', 'Bithumb', 'Huobi Global', 'Binance', 'EXX', 'Bithumb', 'Huobi Global', 'Binance', 'ZB', 'Huobi Global', 'KuCoin']"
342,AAC,"['Huobi Global', 'OKEx', 'Huobi Global', 'OKEx', 'EXX']"
343,DBTC,"['Sushiswap', 'Sushiswap', 'Sushiswap']"
344,NICKEL,"['PancakeSwap', 'PancakeSwap']"
345,NEAR,"['Binance', 'Kraken', 'Binance', 'Kraken']"
346,DBC,"['Huobi Global', 'Huobi Global', 'Huobi Global', 'KuCoin']"
347,GVT,"['KuCoin', 'Hotbit', 'KuCoin', 'Hotbit', 'Uniswap (v2)']"
348,BSV,"['Upbit', 'Bitfinex', 'Upbit', 'Bitfinex', 'BitBay', 'Bitforex', 'KuCoin', 'Hotbit', 'Huobi Global', 'OKEx', 'OKEx', 'Kraken', 'Binance', 'Bitforex']"
349,ACA,"['Binance', 'Binance', 'Binance', 'Binance', 'OKEx', 'PancakeSwap']"
350,ITAMCUBE,"['PancakeSwap', 'PancakeSwap']"
351,ADP,"['Bithumb', 'Bithumb']"
352,MITO,"['Trader Joe', 'Trader Joe']"
353,SUSD,"['Balancer (v1)', 'Balancer (v1)', 'Bittrex', 'Uniswap (v3)', 'Uniswap (v3)', 'Curve', 'Sushiswap', 'Sushiswap']"
354,DINT,"['Uniswap (v2)', 'Uniswap (v2)', 'Uniswap (v2)']"
355,RVST,"['Uniswap (v2)', 'Uniswap (v2)']"
356,ARCT,"['YoBit', 'YoBit']"
357,ETC,"['Huobi Global', 'AnyBits', 'Bitforex', 'Hotbit', 'CoinEgg', 'OKEx', 'CoinEgg', 'CoinEx', 'KuCoin', 'OKEx', 'Huobi Global', 'AnyBits', 'Bitforex', 'Hotbit', 'CoinEgg', 'OKEx', 'CoinEgg', 'CoinEx', 'KuCoin', 'OKEx', 'HitBTC', 'Bittrex', 'Binance', 'Binance', 'Bittrex', 'Bit-Z', 'BTC-Alpha', 'Kraken', 'Binance']"
358,VBNT,"['Uniswap (v2)', 'Uniswap (v2)']"
359,CROX,"['PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap', 'PancakeSwap']"
360,MEL,"['PancakeSwap', 'PancakeSwap']"
361,DRPU,"['HitBTC', 'HitBTC']"
362,msp,"['PancakeSwap', 'PancakeSwap']"
363,TNB,"['Bibox', 'Bitfinex', 'BigONE', 'Bibox', 'Bitfinex', 'BigONE', 'Ethfinex']"
364,NFTX,"['Bittrex', 'Bittrex', 'Sushiswap']"
365,AVT,"['OKEx', 'OKEx', 'Bitfinex', 'Uniswap (v3)', 'Bitfinex']"
366,PSY,"['PancakeSwap', 'PancakeSwap']"
367,CND,"['Ethfinex', 'Ethfinex', 'HitBTC', 'Bittrex']"
368,EDS,"['Bit-Z', 'Bit-Z', 'BigONE']"
369,reflex,"['PancakeSwap', 'PancakeSwap']"
370,NOAH,"['YoBit', 'YoBit']"
371,UBE,"['Ubeswap', 'Ubeswap', 'Ubeswap', 'Ubeswap', 'Ubeswap', 'Sushiswap']"
372,UMAD,"['Uniswap (v2)', 'Sushiswap', 'Uniswap (v2)', 'Sushiswap']"
373,POE,"['HitBTC', 'HitBTC', 'HitBTC', 'EXX']"
374,COMP,"['Coinbase Exchange', 'Balancer (v1)', 'Uniswap (v2)', 'HitBTC', 'Poloniex', 'CEX.IO', 'Binance', 'Binance', 'OKEx', 'Coinbase Exchange', 'Balancer (v1)', 'Uniswap (v2)', 'HitBTC', 'Poloniex', 'CEX.IO', 'Binance', 'Binance', 'OKEx', 'Upbit', 'Apeswap', 'Uniswap (v2)', 'Balancer (v1)', 'Uniswap (v2)', 'Uniswap (v3)', 'CoinEgg', 'Bittrex', 'PancakeSwap', 'Balancer (v2)', 'CEX.IO', 'FTX', 'PancakeSwap']"
375,GRT,"['Sushiswap', 'Upbit', 'CoinEx', 'BitBay', 'Trader Joe', 'FTX', 'Sushiswap', 'Upbit', 'CoinEx', 'BitBay', 'Trader Joe', 'FTX', 'BitBay', 'Coinbase Exchange', 'Kraken', 'Huobi Global', 'Balancer (v2)', 'Balancer (v2)']"
